SampleID;SampleNMR;Date_YMD;Probe;Shims;RG;Type;Folder;Origen;Zona ;Color;R;G;B;Extracto;Resinas %;;
M46;PRO046B_PRO;190205;2;;64;;32;Santander;bh-PM;red;115;2;0;5,48;ND;;
M47;PRO047A_PRO;190205;2;;50,8;;32;Santander;bh-PM;reddish_yellow;246;99;1;4,23;65;;
M47;PRO047B_PRO;190205;2;;45,2;;32;Santander;bh-PM;reddish_yellow;246;99;1;4,23;65;;
M48;PRO048A_PRO;190118;2;;60,5;;32;Casanare;bh-T;yellow;162;133;54;7,74;14;;
M25;PRO025A_PRO;180917;1;;90,5;;22;Tolima;bh-T;light_yellow;108;102;68;3,58;0;;
M44;PRO044A_C;190206;2;;64;C;22;Brasil;BRA;red;115;2;0;11,51;ND;;
M55;PRO055A_C;190206;2;;40,3;C;22;ND;ND;reddish_brown;57;9;5;ND;ND;;
M1;PRO001A_PRO;180910;1;;90,5;;12;San Andres;bs-T;red;115;2;0;6;47;;
M1;PRO001B_PRO;180910;1;;90,5;;12;San Andres;bs-T;red;115;2;0;6;47;;
M2;PRO002A_PRO;180910;1;;90,5;;12;Antioquia;bh-PM;reddish_yellow;246;99;1;4,76;7;;
M2;PRO002B_C;190207;1;;50,8;C;12;Antioquia;bh-PM;reddish_yellow;246;99;1;4,76;7;;
M2;PRO002B_PRO;180910;1;;90,5;;12;Antioquia;bh-PM;reddish_yellow;246;99;1;4,76;7;;
M3;PRO003A_PRO;180910;1;;90,5;;12;Risaralda;bh-PM;yellow;162;133;54;3,68;10;;
M3;PRO003B_PRO;180910;1;;90,5;;12;Risaralda;bh-PM;yellow;162;133;54;3,68;10;;
M4;PRO004A_PRO;180910;1;;90,5;;12;Risaralda;bh-PM;yellow;162;133;54;2,29;10;;
M4;PRO004B_PRO;180910;1;;90,5;;12;Risaralda;bh-PM;yellow;162;133;54;2,29;10;;
M5;PRO005A_PRO;180911;1;;90,5;;12;Quindio;bh-PM;light_yellow;108;102;68;3,09;6;;
M5;PRO005B_PRO;180911;1;;90,5;;12;Quindio;bh-PM;light_yellow;108;102;68;3,09;6;;
M6;PRO006A_PRO;180911;1;;90,5;;12;Boyacá;bs-MB;blackish_brown;50;12;6;7,15;18;;
M6;PRO006B_PRO;180911;1;;90,5;;12;Boyacá;bs-MB;blackish_brown;50;12;6;7,15;18;;
M7;PRO007A_PRO;180911;1;;90,5;;12;Valle;bh-PM;light_yellow;108;102;68;3,15;5;;
M7;PRO007B_PRO;180911;1;B;90,5;;12;Valle;bh-PM;light_yellow;108;102;68;3,15;5;;
M7;PRO007C_PRO;180912;1;;90,5;;12;Valle;bh-PM;light_yellow;108;102;68;3,15;5;;
M8;PRO008A_PRO;180911;1;;90,5;;12;Boyacá;bh-PM;reddish_brown;57;9;5;2,42;37;;
M8;PRO008B_PRO;180911;1;B;90,5;;12;Boyacá;bh-PM;reddish_brown;57;9;5;2,42;37;;
M8;PRO008C_PRO;180912;1;;90,5;;12;Boyacá;bh-PM;reddish_brown;57;9;5;2,42;37;;
M9;PRO009A_PRO;180913;1;;90,5;;12;Boyacá;bh-PM;reddish_yellow;246;99;1;3,69;28;;
M9;PRO009B_PRO;180913;1;;90,5;;12;Boyacá;bh-PM;reddish_yellow;246;99;1;3,69;28;;
